manifest_id,smoke_id,patch_id,relative_path,path_hash,execution_mode,embedding_attempted,embedding_valid,vector_norm,status,blocked_reason,notes
V1QJ_MAN_00001,V1QH_SMK_00001,CUR_00038,curitiba/curitiba_00038__rgb_preview.png,935a6c2cb43ce808,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=6bf3f8d81d8fabd2
V1QJ_MAN_00002,V1QH_SMK_00002,CUR_00249,curitiba/curitiba_00249__rgb_preview.png,3af09373e2bcc2b9,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=41200be920e7772b
V1QJ_MAN_00003,V1QH_SMK_00003,CUR_00350,curitiba/curitiba_00350__rgb_preview.png,801034f6dde966e4,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=e698d24f661e20c8
V1QJ_MAN_00004,V1QH_SMK_00004,CUR_00357,curitiba/curitiba_00357__rgb_preview.png,fe6cd360771f4305,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=1619547b684016b9
V1QJ_MAN_00005,V1QH_SMK_00005,PET_00104,petropolis/petropolis_00104__rgb_preview.png,4d7409e109f7bf20,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=0d7f6adf332b5765
V1QJ_MAN_00006,V1QH_SMK_00006,PET_00119,petropolis/petropolis_00119__rgb_preview.png,849148f268bd156f,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=cada6ae566abc12e
V1QJ_MAN_00007,V1QH_SMK_00007,PET_00140,petropolis/petropolis_00140__rgb_preview.png,2747fb77b8be72d9,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=d046fa86ae4d901b
V1QJ_MAN_00008,V1QH_SMK_00008,PET_00240,petropolis/petropolis_00240__rgb_preview.png,b062fd3f801adce7,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=5a6e176474c8bbe9
V1QJ_MAN_00009,V1QH_SMK_00009,REC_00183,recife/recife_00183__rgb_preview.png,5689d17773f4ee81,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=83edcddd21410aba
V1QJ_MAN_00010,V1QH_SMK_00010,REC_00204,recife/recife_00204__rgb_preview.png,5c869d2afd39df03,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=439b55ad474f9bdd
